geoid,0,1,2
14000US36005030900,9.0,10.0,7.0
14000US36059302600,10.0,2.0,9.0
14000US36047024300,2.0,2.0,2.0
14000US36061010900,33.0,28.0,6.0
14000US36005025600,17.0,16.0,9.0
14000US36005044901,6.0,23.0,34.0
14000US34039037200,1.0,1.0,1.0
14000US34029728000,1.0,1.0,1.0
14000US36087010701,9.0,10.0,2.0
14000US36005021900,9.0,10.0,2.0
14000US36081126500,10.0,11.0,9.0
14000US34029722701,1.0,1.0,1.0
14000US36085027900,6.0,6.0,8.0
14000US36047064600,3.0,29.0,34.0
14000US36047050700,2.0,2.0,2.0
14000US36047030500,2.0,2.0,2.0
14000US36047122000,1.0,1.0,1.0
14000US36047057000,6.0,6.0,8.0
14000US36047052300,2.0,2.0,2.0
14000US36047035200,9.0,2.0,9.0
14000US36103159506,10.0,2.0,9.0
14000US36103146403,10.0,2.0,9.0
14000US36103146604,10.0,2.0,9.0
14000US36059414400,10.0,2.0,9.0
14000US34003030400,1.0,1.0,1.0
14000US34023007600,1.0,1.0,1.0
14000US34027046201,1.0,1.0,1.0
14000US34027042000,1.0,1.0,1.0
14000US36047018800,6.0,6.0,8.0
14000US36047025800,6.0,6.0,8.0
14000US36061004800,10.0,2.0,9.0
14000US34017004300,1.0,1.0,1.0
14000US34017010200,1.0,1.0,1.0
14000US34023006205,1.0,1.0,1.0
14000US34029717400,1.0,1.0,1.0
14000US36061028300,2.0,2.0,2.0
14000US36081014202,13.0,23.0,14.0
14000US36005026601,9.0,10.0,7.0
14000US36005001900,27.0,22.0,19.0
14000US34027044300,1.0,1.0,1.0
14000US34013022900,1.0,1.0,1.0
14000US36061009300,2.0,2.0,2.0
14000US34003059200,1.0,1.0,1.0
14000US36061017700,2.0,2.0,2.0
14000US36047021700,2.0,2.0,2.0
14000US36061031703,2.0,12.0,41.0
14000US36047004300,2.0,2.0,2.0
14000US36047011700,2.0,2.0,2.0
